[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1625,02/26/2023,Bloom1121,Name 965,40.00,,Jim Mackraz,03/04/2023 12:24:26 AM,OliveSeed Fdn - Operations
Donor 1626,02/27/2023,Bloom1122,Name 966,50.00,,Jim Mackraz,03/04/2023 12:24:27 AM,OliveSeed Fdn - Operations
Donor 1627,02/27/2023,Bloom1123,Name 967,39.76,,Jim Mackraz,03/04/2023 12:24:27 AM,OliveSeed Fdn - Operations
Donor 1628,02/27/2023,Bloom1136 (1),Name 968,5.00,,Jim Mackraz,03/22/2023 03:57:13 PM,Kenya Region
Donor 1629,02/28/2023,Bloom1124,Name 969,96.00,,Jim Mackraz,03/04/2023 12:24:28 AM,OliveSeed Fdn - Operations
Donor 1630,02/28/2023,Bloom1137 (1),Name 970,"5,000.00",,Jim Mackraz,03/22/2023 03:57:13 PM,Kenya Region
Donor 1631,03/03/2023,Bloom1176 (1),Name 971,100.00,,Jim Mackraz,06/27/2023 01:32:08 AM,OliveSeed Fdn - Operations
Donor 1632,03/07/2023,Bloom1132,Name 972,39.87,,Jim Mackraz,03/13/2023 05:00:40 PM,OliveSeed Fdn - Operations
Donor 1633,03/10/2023,Bloom1129,Name 973,"5,000.00",,Jim Mackraz,03/11/2023 12:32:44 AM,Kenya Region
Donor 1634,03/10/2023,Bloom1133,Name 974,9.23,,Jim Mackraz,03/13/2023 05:00:41 PM,School Projects
Donor 1635,03/12/2023,Bloom1130,Name 975,500.00,,Jim Mackraz,03/13/2023 01:24:27 AM,OliveSeed Fdn - Operations
Donor 1636,03/13/2023,Bloom1131,Name 976,201.23,,Jim Mackraz,03/13/2023 05:00:40 PM,OliveSeed Fdn - Operations
Donor 1637,03/13/2023,Bloom1138 (1),Name 977,"2,000.00",,Jim Mackraz,03/22/2023 03:57:13 PM,Community Libraries
Donor 1638,03/14/2023,Bloom1143 (1),Name 978,38.11,,Jim Mackraz,04/13/2023 01:25:00 AM,OliveSeed Fdn - Operations
Donor 1639,03/16/2023,Bloom1144 (1),Name 979,4.89,,Jim Mackraz,04/13/2023 01:25:01 AM,OliveSeed Fdn - Operations
Donor 1640,03/18/2023,Bloom1145 (1),Name 980,144.15,,Jim Mackraz,04/13/2023 01:25:01 AM,OliveSeed Fdn - Operations
Donor 1641,03/21/2023,Bloom1146 (1),Name 981,300.00,,Jim Mackraz,04/13/2023 01:25:02 AM,OliveSeed Fdn - Operations
Donor 1642,03/22/2023,Bloom1135 (1),Name 982,5.00,,Jim Mackraz,03/22/2023 03:57:12 PM,OliveSeed Fdn - Operations
Donor 1643,03/23/2023,Bloom1147 (1),Name 983,99.49,,Jim Mackraz,04/13/2023 01:25:02 AM,OliveSeed Fdn - Operations
Donor 1644,03/29/2023,Bloom1148 (1),Name 984,69.99,,Jim Mackraz,04/13/2023 01:25:02 AM,OliveSeed Fdn - Operations
Donor 1645,04/01/2023,Bloom1140 (1),Name 985,"5,200.00",,Jim Mackraz,04/07/2023 01:33:33 AM,Women's Work Center
Donor 1646,04/01/2023,Bloom1141 (1),Name 986,"2,000.00",,Jim Mackraz,04/07/2023 01:33:34 AM,Kenya Region
Donor 1647,04/07/2023,Bloom1149 (1),Name 987,39.87,,Jim Mackraz,04/13/2023 01:25:03 AM,OliveSeed Fdn - Operations
Donor 1648,04/09/2023,Bloom1150 (1),Name 988,"1,000.00",,Jim Mackraz,04/13/2023 01:25:03 AM,OliveSeed Fdn - Operations
Donor 1649,04/10/2023,Bloom1142 (1),Name 989,"12,000.00",,Jim Mackraz,04/11/2023 01:24:49 AM,OliveSeed Fdn - Operations
